date,start_of_month,month_name,day_type
1/1/2024,1/1/2024,January,Weekday
1/2/2024,1/1/2024,January,Weekday
1/3/2024,1/1/2024,January,Weekday
1/4/2024,1/1/2024,January,Weekday
1/5/2024,1/1/2024,January,Weekday
1/6/2024,1/1/2024,January,Weekend
1/7/2024,1/1/2024,January,Weekend
1/8/2024,1/1/2024,January,Weekday
1/9/2024,1/1/2024,January,Weekday
1/10/2024,1/1/2024,January,Weekday
1/11/2024,1/1/2024,January,Weekday
1/12/2024,1/1/2024,January,Weekday
1/13/2024,1/1/2024,January,Weekend
1/14/2024,1/1/2024,January,Weekend
1/15/2024,1/1/2024,January,Weekday
1/16/2024,1/1/2024,January,Weekday
1/17/2024,1/1/2024,January,Weekday
1/18/2024,1/1/2024,January,Weekday
1/19/2024,1/1/2024,January,Weekday
1/20/2024,1/1/2024,January,Weekend
1/21/2024,1/1/2024,January,Weekend
1/22/2024,1/1/2024,January,Weekday
1/23/2024,1/1/2024,January,Weekday
1/24/2024,1/1/2024,January,Weekday
1/25/2024,1/1/2024,January,Weekday
1/26/2024,1/1/2024,January,Weekday
1/27/2024,1/1/2024,January,Weekend
1/28/2024,1/1/2024,January,Weekend
1/29/2024,1/1/2024,January,Weekday
1/30/2024,1/1/2024,January,Weekday
1/31/2024,1/1/2024,January,Weekday
2/1/2024,2/1/2024,February,Weekday
2/2/2024,2/1/2024,February,Weekday
2/3/2024,2/1/2024,February,Weekend
2/4/2024,2/1/2024,February,Weekend
2/5/2024,2/1/2024,February,Weekday
2/6/2024,2/1/2024,February,Weekday
2/7/2024,2/1/2024,February,Weekday
2/8/2024,2/1/2024,February,Weekday
2/9/2024,2/1/2024,February,Weekday
2/10/2024,2/1/2024,February,Weekend
2/11/2024,2/1/2024,February,Weekend
2/12/2024,2/1/2024,February,Weekday
2/13/2024,2/1/2024,February,Weekday
2/14/2024,2/1/2024,February,Weekday
2/15/2024,2/1/2024,February,Weekday
2/16/2024,2/1/2024,February,Weekday
2/17/2024,2/1/2024,February,Weekend
2/18/2024,2/1/2024,February,Weekend
2/19/2024,2/1/2024,February,Weekday
2/20/2024,2/1/2024,February,Weekday
